MOVIE_NUM,STIM_NUM,MOVIE_NAME,SCALE_FACTOR,OPEN_SCREEN,CLOSE_SCREEN,END_ISI
140,140,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3rad_025_audOnly.avi,,1472072749.5232,1472072750.0863,1472072751.0953
141,141,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3rad_050_visOnly.avi,,1472072751.0959,1472072751.6589,1472072752.6682
142,142,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7rad_050_audOnly.avi,,1472072752.6687,1472072753.245,1472072754.2542
143,143,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4tan_075_audVid.avi,,1472072754.2548,1472072754.8579,1472072755.867
144,144,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2rad_100_audOnly_noisy.avi,,1472072755.8676,1472072756.4172,1472072757.4264
145,145,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2rad_025_audOnly.avi,,1472072757.427,1472072758.0034,1472072759.0125
146,146,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1tan_025_visOnly.avi,,1472072759.013,1472072759.5761,1472072760.5853
147,147,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8tan_075_visOnly.avi,,1472072760.5859,1472072761.1757,1472072762.1849
148,148,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2rad_100_visOnly.avi,,1472072762.1857,1472072762.7218,1472072763.7309
149,149,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7rad_050_audVid.avi,,1472072763.7315,1472072764.2945,1472072765.3037
150,150,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5tan_075_audOnly.avi,,1472072765.3042,1472072765.8404,1472072766.8497
151,151,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8rad_025_audVid.avi,,1472072766.8502,1472072767.3735,1472072768.3824
152,152,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1tan_050_audOnly.avi,,1472072768.3831,1472072768.9335,1472072769.9418
153,153,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8tan_025_visOnly.avi,,1472072769.9426,1472072770.5188,1472072771.528
154,154,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2rad_050_audOnly.avi,,1472072771.5286,1472072772.0779,1472072773.0874
155,155,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2rad_075_visOnly.avi,,1472072773.088,1472072773.6784,1472072774.687
156,156,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7rad_025_audVid.avi,,1472072774.6877,1472072775.21,1472072776.2196
157,157,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4rad_075_visOnly.avi,,1472072776.2201,1472072776.8101,1472072777.8191
158,158,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3tan_075_visOnly.avi,,1472072777.8196,1472072778.3563,1472072779.3652
159,159,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7rad_075_visOnly.avi,,1472072779.3657,1472072779.9423,1472072780.9514
160,160,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2rad_075_audVid.avi,,1472072780.9532,1472072781.5548,1472072782.5641
161,161,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2rad_100_audVid_noisy.avi,,1472072782.5648,1472072783.1542,1472072784.164
162,162,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5tan_075_visOnly.avi,,1472072784.1645,1472072784.7009,1472072785.7096
163,163,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1rad_025_audVid.avi,,1472072785.7101,1472072786.2861,1472072787.2958
164,164,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity8tan_025_audVid.avi,,1472072787.2963,1472072787.8726,1472072788.8818
165,165,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity1rad_100_audOnly_noisy.avi,,1472072788.8826,1472072789.4857,1472072790.4945
166,166,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/Average_visOnly.avi,,1472072790.4951,1472072791.0181,1472072792.0273
167,167,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity3rad_100_audVid_noisy.avi,,1472072792.0281,1472072792.6041,1472072793.6134
168,168,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity5rad_075_visOnly.avi,,1472072793.6141,1472072794.1634,1472072795.1725
169,169,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2tan_050_visOnly.avi,,1472072795.173,1472072795.7493,1472072796.7587
170,170,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity2rad_025_visOnly.avi,,1472072796.7592,1472072797.3359,1472072798.3449
171,171,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4tan_050_audVid.avi,,1472072798.3454,1472072798.9225,1472072799.9311
172,172,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity4rad_025_audOnly.avi,,1472072799.9316,1472072800.4544,1472072801.4648
173,173,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7tan_050_visOnly.avi,,1472072801.4653,1472072802.0013,1472072803.01
174,174,/home/presentation1/Desktop/Experiment_Files/Jones/Jones_StimSet/identity7rad_100_audVid_noisy.avi,,1472072803.0105,1472072803.6004,1472072804.6094
